date,PHR,GVR,TRC,VNIndex
07/06/2020,47507,11900,26000,861.1599731445313
07/03/2020,47417,11650,26400,847.6099853515625
07/02/2020,47507,11550,24700,842.3800048828125
07/01/2020,46425,11500,25600,843.489990234375
06/30/2020,44803,11000,26300,825.1099853515625
06/29/2020,44803,11400,25400,829.3599853515625
06/26/2020,45974,11900,25050,851.97998046875
06/25/2020,45614,12050,25050,854.5900268554688
06/24/2020,45614,12300,25300,859.7100219726563
06/23/2020,46966,12550,24900,868.2000122070313
06/22/2020,47417,12450,23300,871.280029296875
06/19/2020,47146,12600,22500,868.5599975585938
06/18/2020,46335,12300,22800,855.27001953125
06/17/2020,45073,12400,22850,854.4400024414063
06/16/2020,45253,12750,21800,856.1300048828125
06/15/2020,44036,12400,21800,832.469970703125
06/12/2020,45704,12150,22800,863.52001953125
06/11/2020,45073,12500,22900,867.3699951171875
06/10/2020,48138,13250,24600,900
06/09/2020,48408,13650,24800,899.4299926757813
06/08/2020,54700,13000,25200,899.9199829101563
06/05/2020,54600,12900,24650,886.219970703125
06/04/2020,53700,12700,24750,883.9000244140625
06/03/2020,54500,13000,26600,881.1699829101563
06/02/2020,51100,12550,26900,874.7999877929688
06/01/2020,53000,12850,27500,878.6699829101563
05/29/2020,50900,12750,26500,864.469970703125
05/28/2020,50000,12750,25800,861.3900146484375
05/27/2020,49000,12700,25000,857.47998046875
05/26/2020,51300,13100,25900,869.1300048828125
05/25/2020,48650,13100,27800,859.0399780273438
05/22/2020,45500,12500,27800,852.739990234375
05/21/2020,46000,12800,27800,862.72998046875
05/20/2020,45300,12800,29000,852.9099731445313
05/19/2020,44550,12300,29500,845.9199829101563
05/18/2020,44550,12300,30000,837.010009765625
05/15/2020,44000,12050,30000,827.030029296875
05/14/2020,44500,12300,30000,832.4000244140625
05/13/2020,46600,12600,29700,834.2100219726563
05/12/2020,46000,12500,29700,835.3200073242188
05/11/2020,44700,12400,29400,828.3300170898438
05/08/2020,44150,12000,29000,813.72998046875
05/07/2020,45200,12500,30000,796.5399780273438
05/06/2020,44900,11850,29500,782.5900268554688
05/05/2020,44050,11100,30200,764.1599731445313
05/04/2020,43300,10700,29200,762.469970703125
04/29/2020,45200,11150,28600,769.1099853515625
04/28/2020,45850,10800,29500,767.2100219726563
04/27/2020,45850,10650,29500,770.77001953125
04/24/2020,43100,9960,29500,776.6599731445313
04/23/2020,42000,10100,29350,773.9099731445313
04/22/2020,42000,10050,30000,768.9199829101563
04/21/2020,41100,9960,29100,766.8400268554688
04/20/2020,43700,10700,30150,794.969970703125
04/17/2020,44300,10800,30950,789.5999755859375
04/16/2020,42850,10800,29950,780.7000122070313
04/15/2020,42700,11150,29100,777.219970703125
04/14/2020,40900,10800,30700,767.4099731445313
04/13/2020,41050,10150,32450,765.7899780273438
04/10/2020,41900,10100,32800,757.9400024414063
04/09/2020,40700,9450,33300,760.3300170898438
04/08/2020,40500,8990,32100,748.02001953125
